Date, SB,#, Scenario Description, Pre- Condition,Expected Results, Test Step ,Test data, User Role / Profile, Tester,Result,Comments,Remarks,Screenshots
,,TC-179,"To verify ""Scroll to the right"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Scroll to the right"" button, the chart view should be scrolled to the right side.","1. Open the Advanced Chart page.
2. Select the ""Scroll to the right"" button..",,,Shivam,,,,
,,TC-180,"To verify ""Reset chart view"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Reset chart view"" button, the chart view should be get reset and show the default view.","1. Open the Advanced Chart page.
2. Select the ""Reset chart view"" button.",,,Shivam,,,,
,,TC-181,"To verify ""Track all markets on TradingView"" hyperlink.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Clicking on the ""Track all markets on TradingView"" hyperlink, it should be redirected to the ""TradingView Track All Markets"" official site.","1. Open the Advanced Chart page.
2. Click on the ""Track all markets on TradingView"" hyperlink.",,,Shivam,,,,
,,TC-182,"To verify ""Chatbot"" is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/advanced-chart "".","Quering any Valid Issue relevant to Nostro, the chatbot should give appropriate suggestions to the user.","1. Open the Advanced Chart page.
2. Click on the ""Chatbot"" icon and enter the query for suggestions.",,,Shivam,,,,
Tools: Economic Calendar,,,,,,,,,,,,,
,,TC-183,"To verify ""Economic Calendar"" page is opened.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","Clicking on the ""Economic Calendar"" option tile, the page should be opened with the ecomonic details.",1. Click on the Economic Calendar option.,,,Shivam,,,,
,,TC-184,To verify Economic Calender page load time.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".",Economic Calendar should get load within an acceptable time frame.,"1. Open the Ëconomic Calendar page.
2. Observe load time of the page.",,,Shivam,,,,
,,TC-185,To verify Economic Calendar is fetching data.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","The data displaying in the Economic Calendar should be onl from the ""TradingView"" official website.","1. Open the Ëconomic Calendar page.
2. Verify the data is reflected only from TradingView site.",,,Shivam,,,,
,,TC-186,To verify visual appearance of the webpage.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","Calendar layout should be clean, aligned, easy to read and understand.","1. Open the Ëconomic Calendar page.
2. Verify webpage visual appearance is aligned properly.",,,Shivam,,,,
,,TC-187,"To verify ""Countries"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".",Economic Calendar should displays only events scheduled for the selected country name.,"1. Open the Ëconomic Calendar page.
2. Select the country name.",,,Shivam,,,,
,,TC-188,"To verify ""High importance"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".",Economic Calendar should displays only events higher Prior percentage.,"1. Open the Ëconomic Calendar page.
2. Select the ""High importance"" button as the event type filter.",,,Shivam,,,,
,,TC-189,To verify Invalid Input in search countries field.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","System should displays an error message: ""No markets match your criteria"".","1. Open the Ëconomic Calendar page.
2. Enter invalid input or non-existent country.",,,Shivam,,,,
,,TC-190,To verify Handle large data.,"1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","Economic Calendar should displays data efficiently, potentially with individual pages or scrolling.","1. Open the Ëconomic Calendar page.
2. Observe the calendar with 100+ events.",,,Shivam,,,,
,,TC-191,"To verify ""More Events"" button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/economic-calendar "".","Clicking on the ""More Events"" button, it should be navigated to TradingView economic calendar webpage.","1. Open the Ëconomic Calendar page.
2. Click on the ""More Events"" button.",,,Shivam,,,,
Tools: Downloads,,,,,,,,,,,,,
,,TC-192,"To verify ""Tradings Platforms"" section.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".",Trading Platforms section display three options to download. ,"1. Open the Downloads page.
2. Verify the options displayed are correct.",,,Shivam,,,,
,,TC-193,"To verify ""Title"" is displayed correct.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","The title name displayed on the ""Title"" column should be the same as download link is provided for content, it should not be the mismatch of title and download link provided for specific file.","1. Open the Downloads page.
2. Verify the title and download link of the file is for same content.",,,Shivam,,,,
,,TC-194,"To verify ""Download icon"" button is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Clicking on the ""Download"" icon button, it should download the contents file in the user's system.","1. Open the Downloads page.
2. Click on the ""Download"" icon button.",,,Shivam,,,,
,,TC-195,"To verify ""Graphics"" section.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Graphics section should display ""Nostro - Brand kit"" option.","1. Open the Downloads page.
2. Verify the correct option is displayed in the section tile.",,,Shivam,,,,
,,TC-196,"To verify Nostro - Brand Kit ""Download"" icon button is functional.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Clicking on the ""Download"" icon button, it should download the content file in the user's system.","1. Open the Downloads page.
2. Click on the ""Download"" icon button.",,,Shivam,,,,
,,TC-197,"To verify ""Policies"" section.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Policies section should displays the appropriate three options.
(Terms & Conditions, Privacy Policy, GDPR Policy)","1. Open the Downloads page.
2. Verify the three options is displayed.",,,Shivam,,,,
,,TC-198,"To verify Terms & Conditions ""Download"" icon button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Clicking on the ""Download"" icon button, it should download the ""Terms & Conditions"" PDF file in the user's system.","1. Open the Downloads page.
2. Click on the Terms & Conditions ""Download"" icon button.",,,Shivam,,,,
,,TC-199,"To verify Privacy Policy ""Download"" icon button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Clicking on the ""Download"" icon button, it should download the ""Privacy Policy"" PDF file in the user's system.","1. Open the Downloads page.
2. Click on the Privacy Policy ""Download"" icon button.",,,Shivam,,,,
,,TC-200,"To verify GDPR Policy ""Download"" icon button.","1. User should logged in and navigate to the Tools page URL ""https://app.nostro.co/downloads "".","Clicking on the ""Download"" icon button, it should download the ""GDPR Policy"" PDF file in the user's system.","1. Open the Downloads page.
2. Click on the GDPR Policy ""Download"" icon button.",,,Shivam,,,,
Education: Nostro Tutorials,,,,,,,,,,,,,
,,TC-201,To verify Video Archive page.,"1. User should logged in and navigate to the Education: Nostro Tutorials page URL ""https://app.nostro.co/nostro-tutorials "".",Video Archive page should display the small iframes mentioning the content's feature and how wto use them tutorials video.,"1. Open the Video Archive page.
2. Verify the small iframes display content name and relevent feature tutorial video.",,,Shivam,,,,
,,TC-202,"To verify small iframe's ""Learn More"" button is functional.","1. User should logged in and navigate to the Education: Nostro Tutorials page URL ""https://app.nostro.co/nostro-tutorials "".","Clicking on iframe's ""Learn More"" button, it should be navigated to video preview page to watch that video.","1. Open the Video Archive page.
2. Click on the small iframe's ""Learn More"" button.",,,Shivam,,,,
,,TC-203,"To verify ""Backward"" icon button.","1. User should logged in and navigate to the Education: Nostro Tutorials page URL ""https://app.nostro.co/nostro-tutorials "".","Clicking on the ""Backward"" icon button, it should go the previous slide of video archives, only if  the current screen is forward from slide 1. ","1. Open the Video Archive page.
2. Click on the ""Backward"" icon button.",,,Shivam,,,,
,,TC-204,"To verify ""Forward"" icon button.","1. User should logged in and navigate to the Education: Nostro Tutorials page URL ""https://app.nostro.co/nostro-tutorials "".","Clicking on the ""Forward"" icon button, it should go the next slide of video archives, only if there are more videos and present on next slide. ","1. Open the Video Archive page.
2. Click on the ""Forward"" icon button.",,,Shivam,,,,
Mastery: Achievements -> Daily Achievements,,,,,,,,,,,,,
,,TC-205,"To verify ""Contest Conqueror"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the first competition is started, the tile should be highlighted and target should be 1/1 as a sign for acquiring achievement.","1. Open the Mastery: Achievements page.
2. Verify the ""Contest Conqueror"" tile is highlighted and number is1/1.",,,Shivam,,,,
,,TC-206,"To verify ""Good Friend"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the user refers Nostro app to 2 friends and they joined the Nostro app, then the tile should be highlighted and target should be 1/1 as a sign for acquiring achievement.","1. Open the Mastery: Achievements page.
2. Verify the ""Good Friend"" tile is highlighted and number is1/1.",,,Shivam,,,,
Mastery: Achievements -> Weekly Achievements,,,,,,,,,,,,,
,,TC-207,"To verify ""Referral Ninja"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the user refers Nostro app to 10 friends and they joined the Nostro app, then the tile should be highlighted and target should be 10/10 as a sign for acquiring achievement.","1. Open the Mastery: Achievements page.
2. Verify the ""Referral Ninja"" tile is highlighted and number is 10/10.",,,Shivam,,,,
,,TC-208,"To verify ""Profile Wizard"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the user completes Challenge Stage, the tile should be highlighted and target should be 1/1 as a sign for acquiring achievement.","1. Open the Mastery: Achievements page.
2. Verify the ""Profile Wizard"" tile is highlighted and number is 1/1.",,,Shivam,,,,
Mastery: Achievements -> Monthly Achievements,,,,,,,,,,,,,
,,TC-209,"To verify ""Pay Day"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the user Reaches a total of $100 in payouts,  then the tile should be highlighted and target should be 100/100 as a sign for acquiring achievement.

","1. Open the Mastery: Achievements page.
2. Verify the ""Pay Day"" tile is highlighted and number is 100/100.",,,Shivam,,,,
,,TC-210,"To verify ""The Challenger"" achievement.","1. User should logged in and navigate to the Mastery: Achievements page URL ""https://app.nostro.co/achievements "".","When the user starts 10 challenges,  then the tile should be highlighted and target should be 10/10 as a sign for acquiring achievement.

","1. Open the Mastery: Achievements page.
2. Verify the ""The Challenger"" tile is highlighted and number is 10/10.",,,Shivam,,,,
Mastery: Certificates,,,,,,,,,,,,,
,,TC-211,"To verify ""Funded Account"" iframe is disable.","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","""Funded Account"" certificate iframe should be disabled until its target value is achieved.","1. Open the Certificates page.
2. Verify the ""Funded Account iframe"" is disable.",,,Shivam,,,,
,,TC-212,"To verify ""Funded Account"" iframe is enable.","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","""Funded Account"" certicate iframe should be enabled only when the expected target value is achieved by the user account.","1. Open the Certificates page.
2. Verify the ""Funded Account iframe"" is enable.",,,Shivam,,,,
,,TC-213,"To verify Funded Account ""Download"" icon button is functional..","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","Clicking on the ""Download"" icon button, it should download the zip file for 2 certificates.","1. Open the Certificates page.
2. Click on the ""Download"" icon button.",,,Shivam,,,,
,,TC-214,"To verify ""Payout Certificate"" iframe is disable.","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","""Payout Certificate"" iframe should be disabled until user reach the total of $100 payout from the account.","1. Open the Certificates page.
2. Verify the ""Payout Certificate"" iframe is disable.",,,Shivam,,,,
,,TC-215,"To verify ""Payout Certificate"" iframe is enable.","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","""Payout Certificate"" iframe should be enabled, only when the user reach the total of $100 payout from the account.","1. Open the Certificates page.
2. Verify the ""Payout Certificate"" iframe is enable.",,,Shivam,,,,
,,TC-216,"To verify Payout Certificate ""Download"" icon button is functional..","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","Clicking on the ""Download"" icon button, it should download the zip file for 2 certificates.","1. Open the Certificates page.
2. Click on the ""Download"" icon button.",,,Shivam,,,,
,,TC-217,"To verify ""Competition Winner"" iframe is disable.","1. User should logged in and navigate to the Mastery: Certificates page URL ""https://app.nostro.co/certificates "".","Competition Winner iframe should be disabled, until the user wins the competition.","1. Open the Certificates page.
2. Competition Winner iframe is disable.",,,Shivam,,,,
Affiliate (UPDATED),,,,,,,,,,,,,
,,TC-218,"To verify ""Affiliate"" Menu option.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""Affiliate"" option, it should open the Affliate page which should not be get stucked and loaded properly.",1. Open the Affiliate page.,,,Shivam,,,,
,,TC-219,"To verify ""Terms & Conditions Acceptance"" popup display.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","""Terms & Conditions Acceptance"" iframe should appear when the affiliate page is loaded for the first time only.","1. Open the Affiliate page.
2. Verify the ""Terms & Conditions Acceptance"" popup is displayed.",,,Shivam,,,,
,,TC-220,"To verify ""Terms & Conditions Acceptance"" popup ""Cancel"" buton.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""Cancel"" button, it should go to the leave the Affiliate page..","1. Open the Affiliate page.
2. Click on the ""Cancel"".",,,Shivam,,,,
,,TC-221,"To verify ""Terms & Conditions Acceptance"" popup ""Continue"" button is disable.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","""Continue"" button should remain disabled, until the checkbox is checked.","1. Open the Affiliate page.
2. Verify the ""Continue"" button is disable.",,,Shivam,,,,
,,TC-222,"To verify ""Terms & Conditions Acceptance"" popup ""Continue"" button is enable.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","""Continue"" button should be enabled when clicked on the ""Checkbox"".","1. Open the Affiliate page.
2. Verify the ""Continue"" button is enable.",,,Shivam,,,,
,,TC-223,"To verify ""Terms & Conditions Acceptance"" popup ""Continue"" button is functional.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""Continue"" button, it should be navigated to ""Affiliate- Main page"".","1. Open the Affiliate page.
2. Click on the ""Checkbox""
3. Click on the ""Continue"" button.",,,Shivam,,,,
,,TC-224,To verify all the tabs value.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","All the tabs value should be set to default/static, until the Verification process is completed successfully.","1. Open the Affiliate page.
2. Click on the ""Continue"" button.
3. Verify all the values in the page is default.",,,Shivam,,,,
,,TC-225,"To verify ""Notification"" icon.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the notificaion icon, it should open the tab for displaying notifications.","1. Open the Affiliate page.
2.Click on the ""Continue"" button.
3. Click on the ""Notification"" icon.",,,Shivam,,,,
,,TC-226,"To verify ""Profile"" icon.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","The profile icon displaying should be the same as user's account, it should not be different / unmatched.","1. Open the Affiliate page.
2. Click on the ""Continue"" button.
3. Verify the profile icon is a match.",,,Shivam,,,,
,,TC-227,"To verify ""VERIFY NOW"" button is functional.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""VERIFY NOW"" button, it should be navigated to New Challenge page to Start the verification process for free trial account.","1. Open the Affiliate page.
2. Click on the ""Continue"" button.
3. Click on the ""Verify Now"" button.",,,Shivam,,,,
,,TC-228,"To verify ""Affiliate"" page Dynamic values display.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","If the ""Free Trial"" verification has completed successfully, then according to the required criterias dynamic values should be fetched in affiliate page.","1. Open the Affiliate page.
2. Click on the ""Verify Now"" button and Complete the Verification successfully. (If not completed, Execute the step)
3. Verify the Dynamic values are fetched in Affiliate page.",,,Shivam,,,,
,,TC-229,To verify Affiliate Page Layout.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Page layout should be clean, organized, and easy to navigate.","1. Open the Affiliate page.
2. Check for proper alignment and readability of elements.",,,Shivam,,,,
,,TC-230,"To verify ""Total Revenue"" amount .","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Total Revenue amount should be the sum of all the previous successful payouts amount.,"1. Open the Affiliate page.
2. Verify the Total Revenue amount is accurate.",,,Shivam,,,,
,,TC-231,"To verify ""Link Click"" counts.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","When the shared referral links are being clicked, Link clicks counts should be automatically updated/increased.","1. Open the Affiliate page.
2. Verify the Link click count displayed is corrrect",,,Shivam,,,,
,,TC-232,"To verify  ""Total Referrals - Verified"" counts.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","When the shared referred links has joined as Nostro Verified users, then it should update the count number.
(If 5 shared referral links, but only 3 has joined Nostro (Verfified) then Total Referral count will be increase by +3.)","1. Open the Affiliate page.
2. Verify the Total Referrals (Verified) count displayed is correct.",,,Shivam,,,,
,,TC-233,"To verify ""Successfully Conversion"" counts.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Successful conversions counts should be correct and accurate which is to fetched from the database records of an account.,"1. Open the Affiliate page.
2. Verify the Succesful Conversion count displayed is correct.",,,Shivam,,,,
,,TC-234,"To verify  ""Total Referrals - Unverified"" counts.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","When the shared referred links has joined as Nostro but Unverified users, then it should update the count number.","1. Open the Affiliate page.
2. Verify the Total Referrals (Unverified) count displayed is correct.",,,Shivam,,,,
,,TC-235,"To verify ""Lifetime Earnings"" amount.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Lifetime Earning should be the sum of all previous earnings of an account which should be fetched from the database and accurately displayed .,"1. Open the Affiliate page.
2. Verify Lifetime Earnings amount displayed is accurate.",,,Shivam,,,,
,,TC-236,"To verify ""Pending Payouts"" amount.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Pending payouts amounts should be the sum of all pending payouts data stored in the database, the same amount should be accurately displayed .","1. Open the Affiliate page.
2. Verify Pending Payouts amount displayed is accurate.",,,Shivam,,,,
,,TC-237,"To verify ""Conversion Rates"" percentage is correct.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",The percentage for the Conversion Rates should be calculated and displayed accurately.,"1. Open the Affiliate page.
2. Verify the Conversion Rates Percenatge displayed is accurate.",,,Shivam,,,,
,,TC-238,To verify Performance chart displays accurate graph.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Performance graph should fetched the accurate data for account Balance, Equity and displays the same.","1. Open the Affiliate page.
2. Verify the Performance Chart displayed data is correct.",,,Shivam,,,,
,,TC-239,To verify Reward Tier Display.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","All reward tiers ( $20 Credit, $25K 3-step Challenge, $100 Credit, $100K 3-step Challenge) are displayed correctly with corresponding referral requirements.","1. Open the Affiliate page.
2. Verify the Reward toggle tile displayed is correct.",,,Shivam,,,,
,,TC-240,To Reward Claim button functionality.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""Claim"" button the reward should be claimed successfully, and visual confirmation should be provided (updated referral count, reward status change).","1. Open the Affiliate page.
2. Click on ""CLAIM"" button for a reachable reward tier.",,,Shivam,,,,
,,TC-241,To verify Reward Tier Display.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","All reward tiers (e.g., $20 Credit, $25K 3-step Challenge, $100 Credit, $100K 3-step Challenge) are displayed correctly with corresponding referral requirements.","1. Open the Affiliate page.
2. Reload the page and observe the Reward Tiers.",,,Shivam,,,,
,,TC-242,To verify Referral Count Display.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Current referral count should be displayed accurately.,"1. Open the Affiliate page.
2. Reload the page and observe the Referral counts.",,,Shivam,,,,
,,TC-243,To verify Unreachable Reward Tier.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Claim button should be disabled for unreached reward tier.,"1. Open the Affiliate page.
2. Try to claim a reward tier that requires more referrals.",,,Shivam,,,,
,,TC-244,To verify Referral Link Display.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Referral link should be displayed correctly and clickable.,"1. Open the Affiliate page.
2. Veriify the link is visible and clickable.",,,Shivam,,,,
,,TC-245,To verify Referral Link Sharing.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Link should be shared successfully and can be accessed by recipients.,"1. Open the Affiliate page.
2. Share the referral link through different channels (social media, email).",,,Shivam,,,,
,,TC-246,To verify Referral Code Display.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Referral code should be displayed correctly.,"1. Open the Affiliate page.
2. Verify the Referral code is visible.",,,Shivam,,,,
,,TC-247,To verify Referral Tracking.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Referral count should be updated accurately as new users joined and verified using the referral link.,"1. Open the Affiliate page.
2. Verify new user generated through the link''s count is correct.",,,Shivam,,,,
,,TC-248,To verify Referral Code.,"1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",The referral code should be correctly associated with the user who referred the new member..,"1. Open the Affiliate page.
2. Use the valid referral code during registration/signup.",,,Shivam,,,,
,,TC-249,"To verify Account Manager ""CONTACT NOW"" button.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .","Clicking on the ""CONTACT NOW"" button, user should be directed to the contact page or a communication channel to reach the account manager.","1. Open the Affiliate page.
2. Click on ""CONTACT NOW"".",,,Shivam,,,,
,,TC-250,"To verify Reward History ""Top- Performing Referrals"" display.","1. User should logged in and navigate to the Affiliate page URL ""https://app.nostro.co/affiliate "" .",Top claimed reward user should be displayed accurately in the Top- Performing Referrals list..,"1. Open the Affiliate page.
2. Verify top claimed reward user list is accurate.",,,Shivam,,,,
Affiliate : Payouts (UPDATED),,,,,,,,,,,,,
,,TC-251,To verify Payouts menu option.,1. User should logged in and navigate to the Affiliate: Payouts page.,"Clicking on the ""Payouts"" menu option, it should be navigated to the ""Payouts"" page.","1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.",,,Shivam,,,,
,,TC-252,To verify the all the amounts display.,1. User should logged in and navigate to the Affiliate: Payouts page.,"All amounts should be calculated accurately and display with respective headers.(Lifetime Earnings, Pending Payouts and Paid out Totals, Calcuated amounts should not be in negative.","1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. All the amounts are correct.",,,Shivam,,,,
,,TC-253,To verify Payout Breakdown data display.,1. User should logged in and navigate to the Affiliate: Payouts page.,"Breakdown of payout components (Referral ID, Earnings, Status) should be displayed accurately.","1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify all the components display correct data.",,,Shivam,,,,
,,TC-254,To verify Available Balance display.,1. User should logged in and navigate to the Affiliate: Payouts page.,Available account balance should be displayed accurately.,"1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify the available amount displayed is accurate.",,,Shivam,,,,
,,TC-255,To verify Upcoming Payout Schedule.,1. User should logged in and navigate to the Affiliate: Payouts page.,Upcoming payout schedule should displays the next upcoming Date for requesting the payout and date format is (DD MMM YYYY).,"1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify the Upcoming payout date and format is correct..",,,Shivam,,,,
,,TC-256,To verify Request Payout button.,1. User should logged in and navigate to the Affiliate: Payouts page.,"Clicking on the ""Request Payout"" button, a request for payout should be successfully submitted.","1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Click on the ""Request Payout"" button.",,,Shivam,,,,
,,TC-257,To verify Insufficient Balance.,1. User should logged in and navigate to the Affiliate: Payouts page.,"Insufficient Balance should displays an error message or disable the ""Request Payout"" button.","1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify the error message/ Request button is disable.",,,Shivam,,,,
,,TC-258,To verify Payout Breakdown .,1. User should logged in and navigate to the Affiliate: Payouts page.,Previous payout transactions should be displayed accurately.,"1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify the payout breakdown data is accurate.",,,Shivam,,,,
,,TC-259,To verify Payout Schedule.,1. User should logged in and navigate to the Affiliate: Payouts page.,Payout schedule and frequency should be displayed and updated correctly in the Upcoming payout schedule.,"1. Click on the Affiliate dropdown icon.
2. Click on the ""Payouts"" option.
3. Verify the payout schedule and frequency.",,,Shivam,,,,
Affiliate : Resources (UPDATED),,,,,,,,,,,,,
,,TC-260,To verify Resources Page Load.,1. User should logged in and navigate to the Affiliate: Resources page.,Resources Page should be loaded completely and displays all elements correctly.,"1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.",,,Shivam,,,,
,,TC-261,"To verify ""DOWNLOAD ALL ASSETS"" button.",1. User should logged in and navigate to the Affiliate: Resources page.,"Clicking on the ""Download All Assets"" button, it should downloads all assets as a zip file.","1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Click on ""DOWNLOAD ALL ASSETS"" button.",,,Shivam,,,,
,,TC-262,To verify Guides & Tutorials navigation links.,1. User should logged in and navigate to the Affiliate: Resources page.,"Clicking on the ""Guides & Tutorials"" link, User should be redirected to the ""Guides & Tutorials"" page/section.","1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Click on ""Guides & Tutorials"" link.",,,Shivam,,,,
,,TC-263,"To verify Guides & Tutorials content ""LEARN MORE"" button.",1. User should logged in and navigate to the Affiliate: Resources page.," Clicking on the ""LEARN MORE"" button, User should be redirected to the corresponding page (""How to Optimize Your Referral Funnel"").","1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Click on ""LEARN MORE"" button.",,,Shivam,,,,
,,TC-264,To verify Terms & Conditions navigation links.,1. User should logged in and navigate to the Affiliate: Resources page.,"Clicking on the ""Guides & Tutorials"" link, User should be redirected to the ""Terms & Conditions"" page/section.","1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Click on ""Terms & Conditions"" link.
",,,Shivam,,,,
,,TC-265,"To verify ""VIEW LEGAL DOCS"" hyperlink.",1. User should logged in and navigate to the Affiliate: Resources page.,"Clicking on the ""View Legal Docs"" hyperlink, legal documents page should be displayed correctly.","1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Click on ""VIEW LEGAL DOCS"" hyperlink.",,,Shivam,,,,
,,TC-266,To verify Image and Content display.,1. User should logged in and navigate to the Affiliate: Resources page.,Images and text content should be displayed correctly and without errors.,"1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Verify that all images and text content are displayed correctly.",,,Shivam,,,,
,,TC-267,To verify Giveaway iframe interaction.,1. User should logged in and navigate to the Affiliate: Resources page.,Users should directed to the appropriate landing page or form for the giveaway process.,"1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Interact with the ""GIVEAWAY"" section (click on ""50 Accounts to be Won!"").",,,Shivam,,,,
,,TC-268,To verify New MT5 Update iframe interaction.,1. User should logged in and navigate to the Affiliate: Resources page.,Users should be directed to the appropriate landing page of New MT5 update.,"1. Click on dopdown icon of the Affiliate menu option.
2. Click on the ""Resources"" option.
3. Interact with the New MT5 Update iframe.",,,Shivam,,,,
